Filtering the log data using "subsystem == "com.swift.examples.scribe""
Timestamp                       (process)[PID]    
2025-09-28 22:36:59.564834-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Mic override disabled; selecting built-in/default input
2025-09-28 22:36:59.588842-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Audio session configured
2025-09-28 22:36:59.588926-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech setup starting
2025-09-28 22:36:59.593596-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] SpeechAnalyzer created
2025-09-28 22:37:00.154176-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Model available for locale pt_BR
2025-09-28 22:37:00.157109-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Speech] Speech transcriber configured
2025-09-28 22:37:00.316295-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Diarization manager initialized
2025-09-28 22:37:00.317749-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Configuring AVAudioEngine + input tap
2025-09-28 22:37:00.508887-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] AVAudioEngine started
2025-09-28 22:37:00.508918-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Motor de gravação iniciado
2025-09-28 22:37:00.508971-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Tap buffer=4096 isBT=1 input=airpods pro
2025-09-28 22:37:00.614443-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:AudioPipeline] Primeiro buffer recebido
2025-09-28 22:37:03.228509-0300  localhost SwiftScribe[7586]: (SwiftScribe.debug.dylib) [com.swift.examples.scribe:Diarization] Live diarization window=2.50s, time=0.21s
